target_class,feature,chi2_statistic,p_value
class,sepal length,156.26666666666668,6.665987344005466e-09
class,sepal width,88.36446886446886,8.303947787862062e-05
class,petal length,271.79999999999995,1.1775672327529825e-21
class,petal width,271.75,2.1648103108815957e-35
