target_class,feature,chi2_statistic,p_value
class,sepal length,160.8759201662428,1.7028514418682974e-09
class,sepal width,81.23964683109625,2.4012160736538063e-05
class,petal length,264.27191836734687,1.6246955775568274e-20
class,petal width,264.22275510204076,5.346278567784376e-34
