feature,f_value,p_value
sepal length,134.4231178712572,1.4222205975501852e-33
sepal width,41.09358107231551,7.937016537988769e-15
petal length,1011.643011557228,4.007256541353007e-85
petal width,952.290079857253,2.253208688856413e-83
