feature,f_value,p_value
sepal length,119.26450218449871,1.6696691907731882e-31
sepal width,47.364461402993975,1.3279165184570817e-16
petal length,1179.0343277002278,3.051975801826352e-91
petal width,959.3244057257541,4.376956957491155e-85
